audio_url,original_text
testset/MOS/1.wav,"Of course we make mistakes, but we don't make too many."
testset/MOS/2.wav,Western countries condemned the conduct of the poll.
testset/MOS/3.wav,I always felt that I was in control of the match.
testset/MOS/4.wav,It's also important that they are not seen as a soft option.
testset/MOS/5.wav,"I've learned a lot, and tomorrow is another day."
testset/MOS/6.wav,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
testset/MOS/7.wav,Yet the performance was not entirely convincing.
testset/MOS/8.wav,The compromise is entirely on the arrival at that position.
testset/MOS/9.wav,Some have accepted it as a miracle without physical explanation.
testset/MOS/10.wav,They did not replace it with a conviction for culpable homicide.
